@RELATION emotionModels/knn_big4_1.0
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {HighControl_NegValence,HighControl_PosValence,LowControl_NegValence,LowControl_PosValence}

@DATA
0.022572,0.012506,3.150030,0.093029,0.161816,0.086004,0.002841,0.024927,-27.322332,3.216600,-0.023967,0.242268,-0.063603,0.165621,0.023498,0.349146,0.034657,0.207306,-0.029632,0.031296,-0.081979,0.038070,0.005024,0.046562,0.020842,0.034018,0.005686,0.032413,0.000678,0.007172,0.031476,0.030988,0.010090,0.028297,-0.000014,-0.000000,0.000543,0.000045,0.000067,-0.000181,0.000001,0.000010,-0.005277,0.002124,-0.001102,-0.000818,-0.000293,-0.000124,0.000017,0.000504,0.000511,-0.000915,0.000448,-0.000648,0.000732,-0.000007,-0.000001,-0.000026,-0.000014,0.000015,0.000005,-0.000008,-0.000003,0.000001,0.000007,0.000041,-0.000008,-0.000015,0.005365,0.007619,0.098118,0.028783,0.038215,0.042932,0.002418,0.005503,1.394096,0.372961,0.200348,0.188362,0.153181,0.179906,0.148990,0.154930,0.176731,0.166041,0.154270,0.180993,0.177675,0.021065,0.003071,0.023954,0.008445,0.013381,0.003602,0.013675,0.000458,0.003191,0.012891,0.017384,0.005352,0.005436,0.005288,0.005567,0.132893,0.030651,0.046735,0.035637,0.002909,0.005119,0.826278,0.329505,0.182258,0.162183,0.167031,0.156440,0.158935,0.167049,0.170420,0.163651,0.154610,0.147378,0.150017,0.015001,0.002895,0.017811,0.006992,0.016985,0.003039,0.009853,0.000548,0.002702,0.011340,0.012690,0.003801,0.004511,300.000000,0.087690,HighControl_NegValence
0.026270,0.008053,3.136271,0.126148,0.218366,0.059911,0.002396,0.022870,-28.465234,4.050821,-0.217438,0.182406,0.164642,-0.066860,-0.002998,0.241573,0.084590,0.019598,-0.069496,-0.074069,-0.045523,0.022508,0.013109,0.049691,0.007566,0.034916,0.006117,0.068347,0.000440,0.007354,0.029148,0.020270,0.005929,0.031463,0.000307,-0.000001,0.000005,0.000534,0.000172,0.000847,0.000002,-0.000007,-0.012735,-0.000077,0.002491,-0.003971,-0.004978,-0.003590,-0.000304,0.003361,0.001106,0.001698,0.004048,0.000088,-0.001290,-0.000007,-0.000002,0.000610,-0.000006,-0.000291,0.000005,0.000403,-0.000002,0.000000,-0.000022,-0.000064,0.000020,0.000132,0.007352,0.008520,0.120353,0.027018,0.026567,0.026642,0.002619,0.003099,1.390072,0.550344,0.290154,0.175343,0.169384,0.181644,0.159161,0.166564,0.135877,0.151712,0.155352,0.134478,0.131012,0.010286,0.006658,0.018113,0.004302,0.011758,0.002927,0.021320,0.000367,0.004253,0.012524,0.007504,0.002680,0.004844,0.007348,0.004175,0.163476,0.021871,0.021416,0.025592,0.003233,0.002436,0.943811,0.639627,0.283377,0.185552,0.177003,0.187461,0.160293,0.177006,0.163741,0.156870,0.163851,0.167908,0.158353,0.012141,0.004518,0.017650,0.003882,0.008692,0.003091,0.019664,0.000357,0.003206,0.009586,0.006503,0.002195,0.004581,200.000000,0.098511,HighControl_NegValence
0.020457,0.007377,3.172920,0.091747,0.180539,0.037580,0.003180,0.025089,-27.810995,4.155299,-0.395968,0.105580,0.019831,-0.034714,-0.019942,0.256993,-0.004097,-0.031849,-0.095181,-0.012437,-0.051394,0.028937,0.008402,0.036160,0.027143,0.028192,0.008654,0.029764,0.000504,0.007739,0.042047,0.028596,0.009186,0.028074,0.000012,-0.000000,-0.000157,0.000074,0.000025,0.000028,-0.000000,-0.000008,-0.001759,-0.000694,-0.000156,0.000207,-0.000086,0.000413,0.000219,0.000102,0.000407,-0.000011,0.000037,-0.000181,0.000155,-0.000039,-0.000000,0.000066,-0.000014,-0.000005,-0.000003,0.000094,-0.000001,-0.000001,-0.000003,-0.000006,-0.000003,0.000029,0.004282,0.006344,0.101764,0.023664,0.028481,0.019880,0.003173,0.003244,1.334628,0.553772,0.267204,0.174159,0.164287,0.170628,0.163332,0.154159,0.139957,0.156270,0.150888,0.142674,0.137484,0.012458,0.005026,0.016154,0.014070,0.011025,0.004912,0.010749,0.000450,0.004845,0.018753,0.012707,0.005569,0.005208,0.004428,0.003689,0.128585,0.027664,0.032513,0.023178,0.003586,0.002490,0.985405,0.669793,0.309692,0.181868,0.166474,0.170352,0.159927,0.164884,0.150788,0.151242,0.148586,0.150313,0.141599,0.008583,0.003455,0.015015,0.010095,0.010460,0.004428,0.009300,0.000522,0.003158,0.013092,0.011640,0.003701,0.004392,300.000000,0.085980,HighControl_NegValence
0.025241,0.009696,3.173346,0.092307,0.162927,0.082809,0.002661,0.033731,-27.104205,3.152395,-0.356789,0.169109,0.006548,-0.064493,-0.146351,0.355513,-0.044089,-0.101334,-0.177618,0.021538,-0.099192,0.038140,0.014936,0.034588,0.012909,0.017707,0.010289,0.044369,0.000774,0.004885,0.025830,0.029919,0.009793,0.030016,0.000030,-0.000000,0.000027,0.000190,0.000051,0.000259,0.000002,-0.000044,-0.006003,-0.001019,0.002126,0.000426,-0.000786,-0.000267,-0.000128,0.000030,0.000493,0.000019,-0.000492,-0.000384,0.000260,-0.000078,-0.000001,0.000042,-0.000001,0.000048,-0.000007,0.000120,-0.000006,-0.000004,-0.000007,0.000009,-0.000049,0.000030,0.005707,0.008859,0.160574,0.024974,0.035230,0.046119,0.003205,0.007422,1.630584,0.420865,0.241261,0.201582,0.207727,0.213846,0.200648,0.202315,0.195820,0.179460,0.163377,0.159794,0.159868,0.019890,0.011617,0.013250,0.008586,0.009551,0.004942,0.014243,0.000632,0.003170,0.013194,0.013704,0.007911,0.007191,0.004868,0.005711,0.213447,0.031145,0.045736,0.041584,0.003701,0.006204,0.988805,0.417659,0.212372,0.206612,0.203124,0.200453,0.190221,0.208912,0.193710,0.181606,0.172643,0.172863,0.171342,0.013539,0.006806,0.011671,0.006077,0.007223,0.004184,0.012051,0.000586,0.002771,0.008753,0.008990,0.005104,0.005501,200.000000,0.078843,HighControl_NegValence
0.027323,0.008905,3.178742,0.116180,0.184830,0.095405,0.003230,0.025538,-28.303338,3.151145,-0.069605,0.419403,0.122790,-0.024523,0.009513,0.360758,-0.148827,-0.173339,-0.117946,-0.075538,-0.216053,0.025290,0.024012,0.044792,0.010858,0.025821,0.004804,0.052729,0.000853,0.003005,0.019426,0.051758,0.002988,0.035292,0.000044,0.000000,-0.000777,-0.000467,-0.000128,-0.000443,0.000013,0.000212,0.014243,-0.000309,-0.004311,0.003838,0.000819,0.002615,-0.000279,-0.001804,0.000235,-0.000273,0.000456,0.000859,-0.001183,0.000048,0.000001,-0.000465,0.000000,0.000040,0.000003,-0.000217,0.000002,0.000011,0.000045,0.000031,0.000002,-0.000136,0.010484,0.008224,0.116760,0.042206,0.044059,0.061686,0.003234,0.008884,2.290025,0.433430,0.240270,0.182645,0.202306,0.163679,0.167855,0.198364,0.182471,0.180862,0.161063,0.158406,0.187941,0.014597,0.014965,0.022540,0.008548,0.010906,0.003235,0.029559,0.000616,0.002040,0.012675,0.020562,0.002223,0.007324,0.008787,0.005217,0.153250,0.035950,0.042403,0.053127,0.003978,0.008180,1.292017,0.400260,0.223079,0.197688,0.209252,0.190477,0.178635,0.195653,0.182064,0.186751,0.163645,0.169279,0.163698,0.011722,0.008347,0.019909,0.007192,0.010168,0.003699,0.022920,0.000690,0.001914,0.010301,0.013336,0.001730,0.005846,300.000000,0.073077,HighControl_NegValence
0.017183,0.013622,3.169141,0.078818,0.157640,0.032196,0.005627,0.020817,-27.643227,3.788170,-0.158692,0.000540,-0.398188,-0.036802,-0.429236,-0.049001,-0.029597,0.087255,0.029934,-0.042094,-0.046836,0.017725,0.007070,0.024377,0.018262,0.015153,0.031528,0.032660,0.001809,0.015918,0.044724,0.035164,0.006113,0.034828,-0.000100,-0.000000,0.001178,-0.000079,0.000068,-0.000852,0.000011,0.000020,0.027355,-0.007663,-0.002140,0.010216,0.002790,-0.004987,-0.005336,0.001016,0.006512,-0.000392,-0.002889,-0.001635,0.003301,-0.000005,-0.000007,-0.000043,-0.000003,-0.000129,-0.000008,-0.000040,-0.000005,-0.000001,0.000324,-0.000015,-0.000001,0.000048,0.004155,0.008319,0.192001,0.031709,0.045523,0.027589,0.006230,0.003174,1.522365,0.621134,0.274508,0.272414,0.245526,0.220024,0.202019,0.194978,0.201103,0.177223,0.189757,0.208761,0.164913,0.010548,0.005557,0.012224,0.015171,0.010371,0.015805,0.014790,0.001431,0.006321,0.013706,0.012931,0.005010,0.005270,0.003547,0.005445,0.250687,0.038970,0.058208,0.029635,0.007901,0.003796,1.334037,0.804564,0.329685,0.341035,0.287091,0.264840,0.253990,0.221447,0.230823,0.206469,0.233447,0.185666,0.185925,0.009446,0.004433,0.011969,0.011469,0.010528,0.012572,0.013792,0.001714,0.005386,0.011264,0.011781,0.005158,0.005570,200.000000,0.090909,HighControl_NegValence
0.030262,0.018557,3.167769,0.103462,0.166045,0.056405,0.020983,0.039364,-29.596561,1.506182,-1.944340,-0.588460,0.000166,0.475988,0.440382,-0.362325,-0.374108,0.247907,0.263235,-0.101193,-0.041704,0.001931,0.003787,0.018220,0.002881,0.006347,0.030854,0.019411,0.098904,0.006412,0.011245,0.007869,0.000830,0.050037,0.000085,-0.000000,0.000645,-0.000527,-0.000359,-0.000529,0.000100,0.000085,0.022179,-0.002152,-0.006747,-0.003449,0.000248,0.002961,0.000151,-0.002387,-0.001073,0.000740,0.000803,0.000317,-0.001421,-0.000000,-0.000000,-0.000022,-0.000000,-0.000443,0.000000,-0.000050,0.000932,0.000001,-0.000001,-0.000001,-0.000000,0.000132,0.006285,0.015168,0.310967,0.031485,0.042252,0.039318,0.029701,0.006820,2.421394,0.691935,0.452717,0.301120,0.274232,0.239609,0.249448,0.289344,0.262595,0.257160,0.222188,0.187721,0.122572,0.002456,0.004485,0.018083,0.004224,0.007879,0.033327,0.031664,0.035949,0.009449,0.014620,0.011796,0.001084,0.017810,0.007778,0.012114,0.405525,0.041925,0.056319,0.046869,0.034354,0.004849,2.186628,0.934331,0.479815,0.389999,0.296341,0.270314,0.249332,0.274334,0.247467,0.216940,0.230322,0.167382,0.142384,0.001693,0.004117,0.013642,0.005344,0.009421,0.023226,0.041207,0.037827,0.012698,0.009531,0.008052,0.001271,0.019342,171.428571,0.102088,HighControl_NegValence
0.031738,0.015174,3.214962,0.084412,0.150529,0.042852,0.010059,0.038033,-27.674822,2.584791,-1.335853,-0.599346,-0.222147,-0.593043,-0.538694,-0.119472,-0.137879,0.418416,0.198483,0.061043,-0.018059,0.016620,0.021355,0.013459,0.002577,0.005323,0.009554,0.012265,0.013258,0.027891,0.017377,0.034747,0.015334,0.032920,0.000027,0.000000,0.000019,-0.000212,-0.000434,-0.000119,0.000014,-0.000000,0.006223,0.003237,-0.002616,-0.000751,-0.000891,0.001517,0.000359,-0.000896,0.000806,0.000760,-0.001119,0.000658,0.000306,-0.000000,0.000000,-0.000009,-0.000001,-0.000014,-0.000002,-0.000007,0.000024,-0.000194,-0.000002,-0.000001,-0.000000,-0.000048,0.006854,0.010553,0.253691,0.030450,0.047948,0.037147,0.015881,0.004790,1.970610,0.628347,0.406447,0.436839,0.320331,0.264580,0.262644,0.276928,0.253203,0.265817,0.244383,0.211890,0.174079,0.011136,0.011885,0.012895,0.003814,0.007282,0.010356,0.016012,0.009408,0.012544,0.013226,0.017565,0.010909,0.007298,0.006950,0.006970,0.313132,0.037535,0.060494,0.046520,0.018058,0.004787,2.012742,0.720474,0.453891,0.557194,0.387421,0.326630,0.305272,0.328607,0.302972,0.288355,0.285034,0.226766,0.177770,0.009167,0.007801,0.008957,0.003854,0.010088,0.009470,0.019158,0.010252,0.011808,0.010651,0.012250,0.008151,0.008332,240.000000,0.084559,HighControl_NegValence
0.020733,0.027871,3.223872,0.085810,0.160260,0.029401,0.006521,0.024999,-26.401794,3.421006,-0.581130,-0.262128,-0.760085,0.180683,-0.162445,-0.116738,-0.156329,-0.395387,-0.246782,-0.188801,-0.053527,0.024618,0.010313,0.032149,0.051628,0.027075,0.025975,0.011987,0.000977,0.014161,0.022935,0.013415,0.013506,0.039980,-0.000107,0.000017,0.001113,-0.000430,-0.000360,-0.000439,-0.000000,0.000004,0.020596,0.004634,0.000524,-0.001147,-0.001761,-0.001598,-0.001099,-0.000402,-0.000120,-0.000218,0.000003,-0.000440,-0.000580,0.000005,0.000000,-0.000192,-0.000040,-0.000016,0.000007,-0.000515,-0.000000,0.000254,0.000105,-0.000020,0.000001,-0.000077,0.005685,0.019066,0.220723,0.038080,0.052885,0.043315,0.009454,0.004888,1.976688,0.640651,0.341499,0.286199,0.424534,0.300903,0.242123,0.227842,0.232581,0.236672,0.190242,0.211762,0.218253,0.016060,0.007658,0.016208,0.029968,0.017803,0.020217,0.010169,0.001281,0.004218,0.016701,0.012139,0.010102,0.007276,0.005584,0.010719,0.309743,0.044889,0.065319,0.055683,0.011123,0.004964,1.664616,0.793088,0.364943,0.328078,0.480497,0.341629,0.272642,0.247453,0.238727,0.246723,0.190691,0.209966,0.176841,0.010455,0.005597,0.012710,0.017496,0.012750,0.010849,0.007873,0.001553,0.003297,0.015287,0.010150,0.006817,0.006917,200.000000,0.110028,HighControl_NegValence
0.033203,0.021933,3.239838,0.096836,0.159371,0.041360,0.009968,0.049436,-27.245330,2.027915,-1.786837,-0.190306,-0.610171,-0.432452,-0.126106,0.004051,0.330849,0.220740,-0.008120,-0.078913,-0.065753,0.017262,0.010828,0.039592,0.013589,0.007079,0.005054,0.009962,0.006621,0.011140,0.024609,0.010972,0.025715,0.034726,-0.000095,-0.000000,0.002042,-0.000390,-0.000287,-0.000470,0.000001,0.000059,0.015281,0.002608,-0.001069,0.001067,0.001870,-0.000121,-0.002682,-0.001675,-0.000877,0.000461,0.002050,0.001275,-0.000952,-0.000000,-0.000002,0.000032,0.000001,-0.000136,0.000006,-0.000230,0.000017,0.000198,-0.000001,-0.000001,-0.000000,-0.000021,0.006963,0.016757,0.203968,0.031978,0.046569,0.031853,0.013064,0.005514,2.007654,0.654310,0.533250,0.424388,0.288313,0.294848,0.279011,0.277245,0.269813,0.260031,0.272677,0.229837,0.172655,0.012998,0.009396,0.021770,0.008876,0.009097,0.008541,0.011724,0.005764,0.003779,0.016891,0.012302,0.022236,0.008681,0.006416,0.009242,0.280900,0.039993,0.059903,0.035385,0.014142,0.004421,1.844169,0.846775,0.637061,0.536735,0.331610,0.341073,0.312005,0.308137,0.310516,0.244647,0.279912,0.220968,0.183542,0.008542,0.006721,0.012650,0.006996,0.008320,0.008463,0.012538,0.005025,0.003246,0.010768,0.010840,0.010913,0.008381,400.000000,0.114773,HighControl_NegValence
