@RELATION emotionModels/svm_PleasureGuilt_1.0
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE features137 NUMERIC
@ATTRIBUTE features138 NUMERIC
@ATTRIBUTE class {Guilt,Pleasure}

@DATA
0.024304,0.005205,3.184370,0.101440,0.179771,0.064629,0.003042,0.028003,-29.214036,3.395496,-0.394371,0.137054,0.022852,-0.030155,0.010819,0.321595,-0.054261,-0.001941,-0.043628,0.027165,-0.065719,0.036433,0.012683,0.035619,0.015268,0.023770,0.009151,0.050724,0.000735,0.006257,0.027109,0.025136,0.006546,0.033530,0.000018,-0.000000,-0.000198,0.000052,-0.000001,-0.000043,0.000003,-0.000007,-0.002666,-0.000760,0.000398,0.000564,0.000706,0.000274,0.000322,-0.000790,0.000114,0.000020,0.000053,0.000221,0.000162,-0.000000,-0.000000,0.000155,-0.000003,-0.000022,-0.000001,-0.000069,-0.000001,-0.000001,-0.000002,0.000012,-0.000001,0.000015,0.005747,0.005280,0.130986,0.025681,0.032132,0.029472,0.003962,0.004875,1.539780,0.442242,0.254674,0.197074,0.198627,0.183529,0.194673,0.192194,0.164695,0.177915,0.172156,0.157330,0.161991,0.017481,0.008558,0.014033,0.010032,0.009950,0.004330,0.017791,0.000583,0.003826,0.012375,0.010455,0.003964,0.006893,0.005426,0.003430,0.176649,0.031239,0.039405,0.031638,0.004859,0.003814,1.031572,0.502232,0.250055,0.213440,0.207615,0.189065,0.192489,0.205481,0.181813,0.181198,0.178664,0.178498,0.165663,0.011715,0.005055,0.012555,0.007016,0.008382,0.003571,0.013795,0.000593,0.002607,0.009304,0.007666,0.003224,0.005199,200.000000,0.094473,Guilt
0.022112,0.014627,3.164673,0.089634,0.166860,0.056776,0.003154,0.028999,-26.580024,3.469947,-0.313812,0.278466,0.006324,-0.105228,-0.125414,0.272465,-0.025262,-0.013966,-0.152317,-0.009658,-0.134730,0.034376,0.016513,0.029384,0.011299,0.026508,0.010294,0.052719,0.000586,0.004712,0.022423,0.035998,0.006016,0.030723,-0.000034,-0.000000,-0.000101,0.000066,0.000009,0.000006,0.000000,-0.000019,-0.001787,-0.001114,0.000035,0.000212,0.000194,-0.000803,0.000190,-0.000344,-0.000875,-0.000152,0.000922,-0.000151,-0.000259,-0.000028,-0.000002,-0.000165,-0.000000,-0.000004,-0.000000,0.000340,-0.000002,-0.000002,-0.000012,-0.000002,-0.000001,0.000042,0.005318,0.012322,0.136552,0.024925,0.033488,0.028935,0.003647,0.006411,1.537748,0.451015,0.242524,0.191617,0.182350,0.182225,0.187035,0.179275,0.168404,0.167413,0.168604,0.163149,0.157141,0.018876,0.011532,0.013619,0.006887,0.013315,0.006487,0.022045,0.000425,0.003022,0.009552,0.018497,0.004121,0.006235,0.004496,0.007752,0.180698,0.029599,0.040299,0.027459,0.004341,0.004844,1.005214,0.456255,0.236011,0.193523,0.182382,0.188622,0.185894,0.188203,0.177530,0.181269,0.183974,0.166472,0.162190,0.013711,0.007928,0.012791,0.005221,0.010452,0.005090,0.016088,0.000465,0.002691,0.008686,0.012829,0.003107,0.005397,171.428571,0.073195,Guilt
0.039643,0.014026,3.239095,0.119047,0.171044,0.179275,0.004762,0.049839,-27.146554,1.806174,-0.382380,0.071016,-0.511822,-0.028615,-0.286253,-0.199997,0.146934,0.247223,0.022066,0.054076,0.206310,0.005969,0.014627,0.026384,0.004281,0.015226,0.017193,0.042097,0.009480,0.015872,0.018781,0.042606,0.010256,0.035627,-0.000002,-0.000000,-0.000175,0.000066,0.000016,0.000064,0.000005,-0.000011,-0.001964,-0.000671,0.000658,0.000821,0.000226,0.000814,0.000332,-0.000368,-0.000019,0.000015,-0.000183,0.000014,0.000393,-0.000003,-0.000001,-0.000006,-0.000004,-0.000007,-0.000006,0.000094,-0.000003,-0.000015,-0.000001,0.000006,0.000000,0.000018,0.009998,0.009699,0.060436,0.021916,0.029882,0.068054,0.003796,0.013301,0.993243,0.482340,0.365766,0.338344,0.289653,0.250552,0.256126,0.231077,0.261859,0.240998,0.235656,0.234587,0.212682,0.005031,0.011546,0.011623,0.003878,0.006537,0.015187,0.022391,0.009693,0.010806,0.012549,0.029406,0.008742,0.009287,0.008716,0.007196,0.067821,0.024035,0.034885,0.060780,0.004908,0.011146,0.606997,0.402304,0.367008,0.341650,0.296223,0.286708,0.271829,0.265063,0.266778,0.253554,0.246316,0.236414,0.220502,0.005554,0.006485,0.011194,0.002851,0.006784,0.010834,0.023103,0.006982,0.008464,0.008971,0.019554,0.008525,0.008638,300.000000,0.096321,Guilt
0.025024,0.030790,3.204480,0.102951,0.172570,0.074539,0.004163,0.025487,-26.383341,2.875236,-0.024711,0.478607,-0.067700,0.210829,-0.318769,-0.067709,0.070782,0.327007,-0.227472,-0.164232,0.040905,0.026912,0.007131,0.065638,0.005707,0.012407,0.007986,0.051840,0.001076,0.006546,0.021318,0.053699,0.008203,0.042182,-0.000190,0.000000,-0.000877,-0.000046,0.000005,-0.000635,0.000005,-0.000019,-0.003046,0.000744,0.001430,0.000730,-0.001771,-0.000399,0.000395,0.000845,0.000227,-0.000349,0.000427,-0.000107,-0.000464,0.000001,-0.000000,-0.000216,-0.000004,0.000026,-0.000006,0.000293,-0.000001,-0.000001,-0.000002,-0.000026,-0.000001,0.000034,0.006454,0.018469,0.060043,0.025440,0.034116,0.031197,0.003537,0.006963,0.865392,0.307681,0.246170,0.242889,0.205289,0.210779,0.204243,0.203971,0.200184,0.203363,0.189336,0.190447,0.174134,0.015978,0.005542,0.026514,0.005252,0.008597,0.007384,0.023535,0.000940,0.003955,0.012108,0.031545,0.006236,0.007831,0.005723,0.012863,0.073827,0.030546,0.043835,0.033240,0.004044,0.006612,0.538413,0.321496,0.235224,0.274903,0.232983,0.249095,0.244041,0.234510,0.223516,0.237524,0.217776,0.204135,0.203415,0.013027,0.004495,0.021843,0.003776,0.006869,0.006621,0.022846,0.000849,0.003589,0.009457,0.022540,0.005661,0.007840,400.000000,0.111594,Guilt
0.015022,0.012581,3.062659,0.099118,0.184116,0.038008,0.021143,0.018113,-29.991821,2.999724,-0.274991,0.187584,-0.108116,-0.333402,-0.338495,-0.122111,-0.271903,-0.189035,-0.062258,0.118856,0.106193,0.003698,0.004296,0.029202,0.023875,0.047625,0.037085,0.065924,0.000805,0.030751,0.005662,0.005604,0.003227,0.045903,0.000016,-0.000000,-0.000728,0.000058,0.000061,0.000034,0.000014,0.000006,-0.002706,0.000960,0.000868,0.001434,-0.000041,-0.000131,0.000048,0.000120,0.000177,-0.000593,0.000401,0.000177,0.000500,0.000002,0.000000,-0.000028,0.000005,-0.000064,0.000000,0.000162,0.000000,0.000001,0.000001,0.000018,0.000000,0.000018,0.007390,0.012069,0.203530,0.033838,0.037083,0.052860,0.024778,0.011515,2.443243,0.685723,0.389583,0.309159,0.307828,0.277287,0.244507,0.262223,0.238405,0.266260,0.289750,0.300628,0.283682,0.004460,0.004948,0.030304,0.028968,0.042203,0.047627,0.061379,0.001389,0.020982,0.007772,0.007463,0.005610,0.015687,0.009078,0.009838,0.250558,0.041742,0.045995,0.068826,0.031431,0.013177,1.598798,0.722926,0.385714,0.326286,0.319812,0.309520,0.275648,0.257298,0.245372,0.239519,0.230147,0.247466,0.246061,0.004883,0.004814,0.036142,0.019517,0.050355,0.031584,0.072233,0.001528,0.014699,0.005744,0.007605,0.005892,0.017285,200.000000,0.079330,Guilt
0.052751,0.023414,3.140299,0.113146,0.164545,0.446450,0.017057,0.081204,-26.124603,1.024063,-0.196634,-0.094792,-0.112255,-0.112075,-0.232584,-0.006873,0.026976,0.062578,0.107877,0.097372,0.019769,0.004901,0.003683,0.012934,0.006972,0.041724,0.015388,0.071629,0.002229,0.003899,0.002520,0.011864,0.015174,0.033820,0.000000,0.000019,-0.004481,0.000375,0.000384,0.000017,0.000218,-0.000000,0.035938,-0.001703,0.003200,0.000589,-0.002802,-0.004102,-0.004868,-0.002597,0.000282,-0.002061,0.001061,0.004488,-0.001577,0.000003,-0.000001,-0.000054,-0.000002,-0.000060,-0.000001,0.000278,-0.000001,-0.000000,-0.000000,-0.000028,-0.000000,-0.000206,0.013062,0.019505,0.130701,0.018819,0.023581,0.169092,0.016559,0.020328,1.274364,0.425874,0.351871,0.343493,0.275814,0.295720,0.309251,0.259281,0.307897,0.314144,0.248942,0.237894,0.243296,0.005061,0.004388,0.012536,0.006638,0.029262,0.016327,0.054106,0.002825,0.003855,0.002744,0.009989,0.016370,0.012780,0.013959,0.012308,0.171546,0.022975,0.027808,0.150785,0.024217,0.023883,0.946241,0.414533,0.363425,0.357940,0.323715,0.296448,0.324396,0.276975,0.280144,0.239881,0.231293,0.220772,0.233542,0.003809,0.003618,0.015758,0.006554,0.040017,0.013387,0.071338,0.002702,0.002705,0.001821,0.008969,0.011148,0.016703,300.000000,0.106635,Guilt
0.016044,0.022283,3.047945,0.080650,0.169294,0.051561,0.016571,0.022349,-27.111722,3.441586,0.334381,0.174103,-0.464871,-0.317613,-0.364024,0.028529,0.162733,0.191325,0.196592,0.146875,0.089776,0.002014,0.026911,0.027125,0.001762,0.064670,0.003806,0.097078,0.000175,0.018339,0.006582,0.014440,0.013072,0.042663,0.000016,0.000718,-0.033359,-0.002366,-0.001578,-0.003551,0.001337,-0.000800,0.023632,-0.004402,-0.000997,0.021352,0.041779,0.021789,-0.006463,-0.004902,-0.002173,0.005281,0.008545,0.000070,0.005097,-0.000291,-0.000024,-0.002634,-0.000187,-0.000083,0.000073,0.001585,-0.000017,-0.000062,-0.000364,-0.000106,-0.000278,0.000313,0.008614,0.010646,0.133906,0.027664,0.030182,0.114686,0.013160,0.021934,1.160352,0.538375,0.228085,0.331195,0.277006,0.209794,0.215216,0.177561,0.182730,0.249072,0.166285,0.168217,0.215877,0.001466,0.011502,0.021201,0.002197,0.033963,0.004008,0.043812,0.000354,0.015791,0.004583,0.010936,0.008956,0.011372,0.010504,0.008737,0.167346,0.032792,0.037360,0.142136,0.013972,0.026737,1.197064,0.597236,0.265736,0.338468,0.253762,0.206936,0.231848,0.221219,0.194899,0.231909,0.179180,0.220144,0.202046,0.001770,0.009871,0.030402,0.003056,0.033281,0.005654,0.055886,0.000489,0.009686,0.004573,0.013209,0.005802,0.012728,150.000000,0.120846,Guilt
0.064802,0.005166,3.149253,0.157573,0.207875,0.320278,0.006634,0.074695,-30.979543,0.820604,-0.344726,0.321763,-0.061566,0.076879,-0.120465,0.117144,-0.033555,0.234483,-0.030954,-0.013259,-0.071103,0.018071,0.007506,0.019269,0.017030,0.002926,0.013657,0.025253,0.019020,0.006682,0.003062,0.030568,0.008305,0.033044,0.000012,-0.000000,0.000115,-0.000009,0.000003,-0.000030,0.000001,-0.000007,0.000521,0.000611,-0.000124,0.000209,-0.000001,0.000025,-0.000309,0.000121,0.000280,-0.000349,-0.000018,-0.000361,0.000097,0.000001,0.000000,-0.000009,0.000001,0.000006,0.000000,0.000035,-0.000020,0.000000,0.000004,0.000017,0.000000,0.000002,0.016244,0.008927,0.314666,0.037325,0.043095,0.193809,0.009899,0.021980,2.730393,0.608243,0.582252,0.416882,0.336821,0.337727,0.318794,0.318195,0.295544,0.329425,0.233742,0.193977,0.185508,0.017013,0.004888,0.016885,0.013938,0.002984,0.015283,0.024137,0.017345,0.007001,0.002914,0.024595,0.006538,0.012471,0.011502,0.009301,0.451276,0.031521,0.039533,0.167109,0.013113,0.018115,2.208783,0.638534,0.472265,0.405902,0.330634,0.336738,0.308227,0.280348,0.256509,0.264226,0.218023,0.210861,0.200385,0.010660,0.003828,0.012884,0.011200,0.003445,0.011804,0.019082,0.012236,0.006302,0.003095,0.016046,0.004783,0.011229,200.000000,0.080685,Pleasure
0.023090,0.018758,3.211808,0.099497,0.169130,0.074438,0.004602,0.027238,-27.145390,2.880632,0.074754,0.407351,-0.063036,0.354119,-0.187423,-0.015688,0.119003,0.299822,-0.137075,-0.036916,0.122443,0.022188,0.004025,0.035186,0.004284,0.027964,0.018020,0.044887,0.001517,0.005058,0.021102,0.067534,0.013844,0.039511,0.000025,-0.000000,0.002363,0.000215,0.000143,0.000141,0.000001,-0.000008,-0.008477,0.000005,0.001903,0.001099,0.001463,0.000724,-0.000305,0.000067,0.000431,-0.000322,0.000384,0.000364,0.000378,-0.000019,-0.000009,0.000116,-0.000011,0.000044,-0.000030,0.000065,-0.000002,-0.000030,-0.000013,0.000001,-0.000015,0.000026,0.007200,0.016946,0.073545,0.025701,0.035247,0.033949,0.003742,0.009046,1.030535,0.357117,0.268072,0.275143,0.277504,0.231453,0.207981,0.226372,0.217708,0.218173,0.201862,0.184396,0.178775,0.016858,0.004898,0.024284,0.004113,0.016807,0.011798,0.021470,0.001552,0.004109,0.014518,0.033941,0.011221,0.008918,0.006410,0.011129,0.075860,0.027963,0.041502,0.033777,0.004571,0.007651,0.631800,0.331822,0.255150,0.264867,0.232983,0.248424,0.218500,0.241560,0.215008,0.223752,0.197860,0.202773,0.195940,0.014367,0.003865,0.017743,0.003454,0.010770,0.008576,0.018898,0.001360,0.003128,0.011568,0.025094,0.008577,0.008081,300.000000,0.087094,Pleasure
0.035899,0.026883,3.232612,0.118052,0.171635,0.151753,0.004421,0.045288,-26.417895,2.006877,-0.179081,0.314691,-0.185343,0.241033,-0.292577,-0.273866,-0.165788,-0.005607,-0.363840,-0.229323,0.050339,0.041444,0.005358,0.040702,0.016330,0.031352,0.009332,0.027357,0.004861,0.006039,0.018643,0.047127,0.011837,0.044272,-0.000048,0.000000,0.000227,-0.000053,-0.000003,-0.000635,0.000004,-0.000043,-0.000894,0.000681,0.000228,0.001069,0.000239,0.000407,-0.001150,-0.001287,-0.000451,-0.000181,0.000178,-0.000266,0.000542,-0.000003,-0.000001,-0.000082,-0.000000,0.000329,-0.000000,-0.000294,-0.000007,-0.000001,-0.000005,-0.000017,-0.000000,-0.000008,0.008513,0.016927,0.068529,0.021022,0.028727,0.061941,0.003857,0.013749,0.833444,0.351337,0.310864,0.278430,0.287972,0.272617,0.235405,0.229833,0.239162,0.204450,0.246847,0.205409,0.222656,0.027624,0.006158,0.026889,0.012534,0.008396,0.007440,0.013290,0.003364,0.004842,0.015056,0.030851,0.008672,0.010205,0.009045,0.012008,0.079984,0.024659,0.036551,0.062054,0.004933,0.011874,0.553278,0.337943,0.305037,0.297207,0.284622,0.278866,0.270734,0.260607,0.260667,0.234412,0.237643,0.217447,0.203523,0.018266,0.003475,0.018916,0.008460,0.008407,0.005452,0.017209,0.003054,0.003315,0.010793,0.025922,0.006767,0.009792,300.000000,0.107438,Pleasure
